"","Participant.Nr.","Time","Location","Date.Time","Age","Gender","Student..Y.N.","English.Proficiency","Ground.Truth.1","Ground.Truth.2","OrderOfLie","Veractity.Accuracy","Veracity.Coding","Judgement.By","Frequency.of.Lie","Confidence.of.Deception","Saturday","Sunday","NOTES","Transcriptions","Sat_Veracity","Sat_Person_NU","Sat_Location_NU","Sat_Time_NU","Sat_Facility_NU","Sat_GPE_NU","Sat_Product_NU","Sat_Date_NU","Sat_Money_NU","Sun_Veracity","Sun_Person_NU","Sun_Location_NU","Sun_Time_NU","Sun_Facility_NU","Sun_GPE_NU","Sun_Product_NU","Sun_Date_NU","Sun_Money_NU","Total_Sat","Total_Sun","Total_Truth","Total_Lie","Predictive_Accuracy"
"36","36","Past","UvA Library","09-12",22,"Male","Yes","5","de school (club) for free","layed in bed and smoked weed",2,"Accurate","1","Sally",1,8,"I had a fantastic Saturday. So I was uhm back home on friday in London and I went to meet my friend Hannah Hickingbottom and we went to the Tate Modern museum and I flew back in the evening. ","My Sunday I just layed in bed and got very stoned. I did absolutely fuck all.","Based on amount of details and how fast he spoke","Done","Lie",1,0,1,0,1,0,2,0,"Truth",0,0,0,0,0,0,1,0,5,1,1,5,"Correct"
"37","37","Past","UvA Library","09-12",21,"Male","Yes","5","study","study",1,"Mistaken","0","Sally",1,1,"Hi I, I spent it all day studying, or trying to at least. That is literally it. Yeah exciting times.","I went for a bike ride first, and then I found a place to go for sunday dinner. There is actually an Irish pub around here that does it, which is amazing. "," ","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"38","38","Past","UvA Library","09-12",23,"Female","Yes","5","came to uni and studied","same",2,"Mistaken","0","Sally",7,8,"Yeah we went out because it was my friend her birthday. We went out for drinks and then we went out to a club. ","I came her to study because I am writing my thesis. So I came to just do stuff about my thesis.  "," ","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"39","39","Future","UvA Library","09-12",20,"Male","Yes","5","clean house","study",1,"Accurate","1","Sally",1,7,"I am going to have to clean my apartment, because we are going to have to leave the apartment very soon and it needs to be super clean because otherwise we might not get our deposit back.","Yea on Sunday I'm going to Antwerp because I have been living in the Netherlands for about two years now and I've never been to Belgium so I was like, I really need to go to Belgium at some point, so yea. ","Based on emphasis of the ""because""","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,4,0,2,0,0,6,0,6,"Correct"
"40","40","Future","UvA Library","09-12",21,"Female","Yes","5","Go clubbing","brunch",1,"Accurate","1","Sally",2,5,"Yes I will hopefully be going clubbing with some of my friends because I am going back home to Dubai where I live normally, before I moved here, so I'll be going clubbing with them.","On Sunday I will be studying because I have an exam in two weeks time, so I should be studying on Sunday"," ","Done","Truth",0,0,0,0,1,0,0,0,"Lie",0,0,0,0,0,0,3,0,1,3,1,3,"Correct"
"41","41","Future","UvA Library","09-12",24,"Male","Yes","4","Studying","studying",2,"Mistaken","0","Sally",3,7,"Um, I think on Saturday I'm gonna spend the night with my friends. We are going to have dinner, something really chill, because then","On Sunday I need to of course start studying a bit and stuff because I have an exam due, a paper due, on Monday."," ","Done","Lie",0,0,1,0,0,0,1,0,"Truth",0,0,0,0,0,0,2,0,2,2,2,2,"Inconclusive"
"42","42","Future","UvA Library","09-12",23,"Female","Yes","3","studying ","studying",2,"Accurate","1","Sally",2,6,"Yea, uh, Saturday I am going to dinner with my friends, with her and some other girlfriends, and we are going to a party later. ","Sunday I'm gonna study. ","unknown","Done","Lie",0,0,0,0,1,0,1,0,"Truth",0,0,0,0,0,0,1,0,2,1,1,2,"Correct"
"43","43","Future","UvA Library","09-12",24,"Female","Yes","3","Watching a movie","Same",1,"Mistaken","0","Sally",2,6,"Next Saturday I'm going to the movie Continuum with a friend","Sunday I'm going to have dinner with my boyfriend and my parents. ","incorrect judgement based on handmovement","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"44","44","Future","UvA Library","09-12",23,"Female","Yes","4","Work","Sleeping, birthday party in East of NL",1,"Mistaken","0","Sally",3,5,"Next Saturday I have to work all day, and that's actually it.","Sunday first I'm going to the movies, and then I'm going to a party of a friend. ","incorrect based on lack of details","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"45","45","Future","UvA Library","09-12",24,"Male","Yes","4","Studying","Studying",2,"Accurate","1","Sally",2,7,"Uh yea, I am planning to go to my parents, I haven't visited them in a while. So yea, basically that.","Studying, a lot. ","based on truthful laughter about studying plans","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"46","46","Future","UvA Library","09-12",22,"Female","Yes","4","back home to spain","family time",2,"Accurate","1","Sally",2,7,"Yea so my family is coming to Amsterdam, so we will just do some sight seeing. This is the first time they come here, so maybe go to the Rijksmuseum and walk a bit. Just see Amsterdam. ","Yes, (unintelligible) Sunday I'm just going back to Spain"," ","unintelligible Sunday","Lie",2,0,0,0,1,0,0,0,"Truth",0,0,0,0,1,0,1,0,3,2,2,3,"Correct"
"47","47","Future","UvA Library","09-12",18,"Female","Yes","5","go to see a film, go to the market","study",1,"Accurate","1","Sally",1,5,"On Saturday I will, I am not entirely sure but I will probably go see a film and then maybe there's a market in the Jordaan on Saturdays that I go to sometimes to do my grocery shopping","On Sunday it's my friends 21st birthday, so we're probably gonna do something, but also there we aren't too sure what the plan is yet."," ","Done","Truth",0,0,0,0,0,0,2,0,"Lie",0,0,0,0,0,0,1,0,2,1,2,1,"Mistaken"
"48","48","Future","UvA Library","09-12",35,"Male","Yes","4","studying","dinner with brother in law",1,"Mistaken","0","Sally",2,10,"I need to study, actually. ","I am going to have dinner with my brother in law, but actually I am going to cancel that because I have to study as well, so that is what I planned to do, change of plans.","went with lack of detail","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"49","49","Future","UvA Library","09-12",24,"Female","Yes","5","ugly sweater run in vondelpark","studying",2,"Mistaken","0","Sally",8,3,"Next Saturday my cousin who lives in Aachen is going to visit me we had this plan for forever and we are finally going to walk around Amsterdam and just, you know, going to a bar or stuff","Well although I would have loved to show him even more of Amsterdam I actually have to study because I have exams the following week, so probably study.","Two lies? because no exams and not showing him ""more of amsterdam"" because not showing at all. Logical Deduction failed","Done","Lie",1,0,0,0,1,0,1,0,"Truth",1,0,0,0,0,0,0,0,3,1,1,3,"Correct"
"50","50","Future","UvA Library","09-12",22,"Female","Yes","4,5","studying","studying",1,"Accurate","1","Sally",2,3,"So next Saturday I think I'll be here again, to study, cus the week after is the session of exam, so we will be here working. ","Sunday I hope I'll be done with the study on Saturday, so probably I will be going to iceskating near by the Rijkmuseum, I don't know the prenunciation, and in the evening we will probably go see the Lights Festival. "," ","Done","Truth",0,0,0,0,0,0,2,0,"Lie",1,0,0,0,0,0,2,0,2,3,2,3,"Correct"
"51","51","Future","UvA Library","09-12",24,"Male","Yes","4,25","going out","doing nothing",1,"Mistaken","0","Sally",1,5,"On Saturday I am going out with friends, I think going out here in Amsterdam, with four other friends","On Sunday I going to play soccer, because I play in a soccer team and it is well like our weekend job let me say.","mentioning of 4 friends seemed suspicious","Done","Truth",0,0,0,0,1,0,1,0,"Lie",0,0,0,0,0,0,2,0,2,2,2,2,"Inconclusive"
"52","52","Future","UvA Library","09-12",24,"Female","Yes","4,5","study","study",1,"Mistaken","0","Sally",1,1,"On Saturday I plan to study, because I have a paper due on Monday. That is an assignment for our pre-master where I basicly just have to do a bunch of statistics stuff so that they can see that were are equipped to do the research master.","On Sunday it is my gym day, so I do my weight training, and then I do squats, and semi-squats, and hip-thrusts badsically, and yea. ","added details threw me off","Done","Truth",0,0,0,0,0,0,2,0,"Lie",0,0,0,0,0,0,1,0,2,1,2,1,"Mistaken"
"53","53","Future","UvA Library","09-12",24,"Female","Yes","4,5","friend visiting from Norway","Friend from Norway",2,"Mistaken","0","Sally",6,8,"It's my friend's birthday so we are going to celebrate her birthday at a party. She's turning 24, so we are going to go all out!","My friend is visiting me from Norway, so we will go out shopping."," ","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,1,0,0,0,1,1,1,1,"Inconclusive"
"54","54","Future","UvA Library","09-12",27,"Male","Yes","4","family time","study",2,"Accurate","1","Sally",5,4,"On Saturday, I hope to go study... I should study... so I'm going to try to get some work done, maybe at home but maybe here but I think it's only open till 6:00pm, so maybe... I'm not sure yet. "," I should study as well."," ","Done","Lie",0,0,1,0,0,0,1,0,"Truth",0,0,0,0,0,0,0,0,2,0,0,2,"Correct"
"55","55","Future","UvA Library","09-12",22,"Female","Yes","4","Studying for an exam","Sleep in and then go to work in the evening",2,"Mistaken","0","Anu",9,6,"I have a birthday party of a former, um yea, roommate of mine. She's turning 23, and we are having cheese fondue at some restaurant. After she wants to go to the Disco Dolly, so I think that's what the plan is.","I usually have to work on Sunday, so that's what I'll be doing. I'm going to sleep in I think, and then go to work."," ","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,1,0,0,1,1,0,"Mistaken"
"56","56","Future","UvA Library","09-12",22,"Male","Yes","3","Go out drinking","Do nothing",1,"Accurate","1","Anu",9,5,"Um I'm not quite sure, I'll probably go out working. I'll have finished with my exams by then, so uh... that's it.","I have a soccer match in the morning, so uh... and for the rest, I think that's it."," ","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"57","57","Future","UvA Library","09-12",21,"Male","Yes","4","Probably studying","probably studying",1,"Accurate","1","Anu",1,4,"Um I'm going to study. I have exams coming up next week, no not next week, the week after that. I do human geography, and we are just rounding up the course. So exams coming up, yay!","I actually have a family get together. We are going to Limburg in the North of the Netherlands, because one of my grandpa is turning 80, so that's quite a long time to be alive. So we are celebrating that close to Maastricht.","","Done","Truth",0,0,0,0,0,0,3,0,"Lie",0,1,0,0,2,0,2,0,3,5,3,5,"Correct"
"58","58","Future","UvA Library","09-12",26,"Male","Yes","5","Drink","Workout and read",2,"Mistaken","0","Anu",8,5,"Yea, I have a soccer game. A soccer match.","I am reading, and then probably working out.","","Done","Lie",1,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,1,0,0,1,"Correct"
"59","59","Future","UvA Library","09-12",21,"Male","Yes","3","Work","Playing football",1,"Mistaken","0","Anu",7,4,"Next Saturday I'm going to work at my work.. It's a cafe here in De Pijp. Mostly I work there on Saturdays, so next Saturday I will work there too, from like 5 o-clock, till like 4 o-clock after midnight. Yea that's quite it.","Next Sunday, I will go study I think because exam week will come up and the week after that and I've got two exams so I'll need to prepare for them","","Done","Truth",2,0,1,0,0,0,3,0,"Lie",0,0,0,0,0,0,3,0,6,3,6,3,"Mistaken"
"60","60","Future","UvA Library","09-12",21,"Male","Yes","2","Study","Study",2,"Accurate","1","Anu",1,4,"Next Saturday I'm going to Ajax, they are playing home against Tesse, like 9 o-clock. That's quite everything I plan until today","Next Sunday I am probably going to study. My exams and yea, I think the whole day will be planned to study.","","Done","Lie",0,0,0,0,2,0,2,0,"Truth",0,0,0,0,0,0,1,0,4,1,1,4,"Correct"
"61","61","Future","UvA Library","09-12",31,"Male","No","3","Work","Shopping with girlfriend",2,"Mistaken","0","Anu",1,6,"Next Saturday, probably going to go in New York and just have fun. Party all night long, we enjoy it.","Next Sunday I'm going to do shopping with my girlfriend, and that's it.","(Boyfriend present, participant 62)","Done","Lie",0,0,1,0,1,0,1,0,"Truth",0,0,0,0,0,0,1,0,3,1,1,3,"Correct"
"62","62","Future","UvA Library","09-12",21,"Female","No","5","stay home and relax","shopping with boyfriend",1,"Accurate","1","Anu",7,6,"I am just going to stay home and relax, not many big plans, I'm just going to chill.","I am gonna go with my mom to the vet because I have to take my cat to the vet.","(Girlfriend present for participant 61)","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"63","63","Future","Amsterdam","10-12",22,"Female","Yes","5","Spend time with parents, fly to London in the evening","Pick up sister from airport in London & fly back to Amsterdam",2,"Mistaken","0","Vivian",8,7,"Next Saturday I'm going to do some homework and take my dog to the park.","I am going to London.","participant 63 and 64 are twins and seeing each other over the weekend -- veracity guess therefore not applicable ","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,1,0,0,0,1,1,1,1,"Inconclusive"
"64","64","Future","Amsterdam","10-12",22,"Female","No","5","Flying form Singapore to London","Arrive in London and fly to Amsterdam with my sister",1,NA,"-","Vivian",5,5,"Next Saturday I'm going to be flying from Singapore to London.","On Sunday I think I will just clean the house because then I've just gotten home.","Over the phone","Done","Truth",0,0,0,0,2,0,1,0,"Lie",0,0,0,0,0,0,1,0,3,1,3,1,"Mistaken"
"65","65","Future","Amsterdam","09-12",32,"Male","No","","Work, gym, then dinner with a colleague","Working",2,NA,"0","",7,2,"I'm having a brunch plan with my colleague. ","On Sunday I am going to work. I have to prepare a talk and then I will also ship some stuff home."," ","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,1,0,0,1,1,0,"Mistaken"
"66","66","Future","Amsterdam","10-12",20,"Male","Yes","5","Study for an exam.","Study for an exam.",2,NA,"0","",8,6,"Yea, so I'm gonna meet up with some friends at bar Festine Lente, my favorite bar and we're gonna have a few drinks. Probably gonna get pretty drunk and then bike back home.","Yep so um I have an exam coming up so I'm probably just gonna be studying most of the time. Gonna go into the study area downstairs and spend the entire day there there hopefully."," ","Done","Lie",1,0,0,0,0,0,0,0,"Truth",1,0,0,0,0,0,0,0,1,1,1,1,"Inconclusive"
"67","67","Future","Amsterdam","10-12",23,"Male","Yes","5","Staying at home. ","Staying at home",2,NA,"0","",2,10,"Flying to Italy. With my girlfriend.","Probably gonna be at home studying. Maybe get some take-out. "," ","Done","Lie",0,0,0,0,1,0,0,0,"Truth",0,0,0,0,0,0,0,0,1,0,0,1,"Correct"
"68","68 (participant X in recording)","Future","Amsterdam","10-12",23,"Female","Yes","5","Going to a concert, where my sister will be singing. After that I will go out to dinner with my family.","I will be studying all day",1,NA,"0","",7,7,"Next Saturday I'm gonna go to a concert um it's a concert, like a choir concert and my sister is singing in that choir. My parents are also coming over so after that we'll all go out to dinner.","So next Sunday a friend of mine from Rotterdam is coming over and we're gonna go shopping in the center of Amsterdam, have coffee and then we'll have dinner here at my place."," ","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,2,0,1,0,1,3,1,3,"Correct"
"69","69 (72 in recording)","Future","Laren","10-12",48,"Female","No","4","I will have a quiet day at home, do laundry and grocery shopping. Nothing special","I may go visit my aunt in the hospital",2,NA,"0","Vivian",1,2,"I think I will go to the casino and spend all the money I made by bribing my neighbor, drink a lot of champagne to celebrate, and have a fun time.","Something completely different: I will have just a regular day at home and I would like to visit an aunt who is sick in the hospital ","(Under the influence; Did not necessarily understand that she was meant to deceive)","Done","Lie",0,0,0,0,0,0,0,0,"Truth",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"70","70","Future","Laren","10-12",57,"Female","No","5","Flying to Capetown","Sitting by the pool",1,"Accurate","1","Vivian",1,10,"I am going to go to Capetown.","I am gonna go snow skiing in Capetown because it is winter there."," ","Done","Truth",0,0,0,0,1,0,0,0,"Lie",0,0,0,0,1,0,0,0,1,1,1,1,"Inconclusive"
"71","71","Future","Laren","10-12",56,"Male","No","5","Do some grocery shopping, clean house, and relax","I am goin got Breda to see my parents to talk about their inheretance",2,NA,"-","Vivian",1,8,"On Saturday I will meet with a good friend of mine who haven't seen for about 20 years. His name is Paul Bekers. He lives in the Ukraine. He will be over in Utrecht, where we will sit together and have some beers and talk about business.","On Sunday I will go to my parents and talk to them about their inheretence. They live in Breda. ","Over the phone","Done","Lie",1,0,0,0,2,0,2,0,"Truth",1,0,0,0,0,0,1,0,5,2,2,5,"Correct"
"72","72","Future","Rotterdam","10-12",25,"Male","Yes","3","Bootcamp in the morning, coffee, christmas dinner with friends"," breakfast, christmas shopping",2,"","0","",7,8,"Next Saturday I will be working on my homework and after that I will meet with some friends.","On Sunday we will have breakfast with family and we will do some christmas shoppings.","Phone interview","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"73","73","Future","Rotterdam","10-12",26,"Female","No","2","I have a christmas dinner with friends of boyfriend","I will go with a friend to a christmarket in Germany",2,"","0","",1,8,"Saturday I will go with my boyfriend to snowworld.","Sunday I will go to a Christmas market with my friends in Germany.","Phone interview","Done","Lie",0,0,0,0,0,0,1,0,"Truth",0,0,0,0,1,0,2,0,1,3,3,1,"Mistaken"
"74","74","Future","Rotterdam","10-12",57,"Male","No","4","Cleaning the truck, joining my wife for plans","watch television or a movie on netflix, relaxing, sleep eat have coffe",1,"","0","",2,8,"Ok on Saturday I am probably going to clean the truck. Well that will probably take all saturday I think.","On Sunday I am going to have a nice walk with your mum and the dog in, what do you call that? The surroundings here.","eliminate because he refferred to ""your mum""?; Phone interview","Done","Truth",0,0,0,0,0,0,1,0,"Lie",0,0,0,0,0,0,1,0,1,1,1,1,"Inconclusive"
"75","75","Future","Rotterdam","10-12",56,"Female","No","3","visit my father my in the morning visit my friend, back home at 16:00","walking the dog with my friend from the village, read my two newspapers",2,"","0","",3,8,"Next Saturday I am going shopping in Amsterdam, and I hope to buy some new shoes, a new coat for the winter, and a nice dress for the Christmas party.","I'll start walking the dog with my friend who lives here in the village, and we will walk through the area that is called the Bernisse. And we have to walk for an hour and a half because a lot bridges are being taken away so we cannot do our regular circle. ","Phone interview","Done","Lie",0,0,0,0,1,0,2,0,"Truth",1,0,1,0,0,0,0,0,3,2,2,3,"Correct"
"76","76","Future","Rotterdam","10-12",23,"Male","Yes","4","work","studying",1,"","0","",6,9,"I am going to work.","I am going to see a movie.","Phone interview","Done","Truth",0,0,0,0,0,0,0,0,"Lie",0,0,0,0,0,0,0,0,0,0,0,0,"Inconclusive"
"77","77 (73 in recording)","Future","Laren","10-12",73,"Female","No","5","Organize my home and pack to go to France. If I have time and have gotten organized in time, I will also maybe have some people over for some christmas Manhattans","I will load up the car with all my goodies to go to France with my lovely husband",1,NA,"","Vivian",1,1,"So this Saturday I want to get organized at home, and get my packing straight to go to France. And if I am really organized leading up to Saturday, I may invite some people over for Christmas drinks or house warming drinks.","Don't tell my husband, but Liam Neeson is in town, and we have been having an affair for years. So we are going to meet at the Amstel hotel where we have the Bridal sweet. And we will just do our own thing. ","(Under the influence; Did not necessarily understand that she was meant to deceive) ","Done","Truth",0,0,0,0,1,0,3,0,"Lie",2,0,0,0,0,0,1,0,4,3,4,3,"Mistaken"
